mode: set
go-averroes/cmd/app/main.go:14.13,15.58 1 0
go-averroes/cmd/app/main.go:15.58,17.3 1 0
go-averroes/cmd/app/main.go:19.2,21.43 3 0
go-averroes/cmd/app/main.go:21.43,23.3 1 0
go-averroes/cmd/app/main.go:25.2,30.16 5 0
go-averroes/cmd/app/main.go:30.16,32.3 1 0
go-averroes/internal/common/config.go:16.30,24.2 1 0
go-averroes/internal/common/config.go:27.44,28.42 1 1
go-averroes/internal/common/config.go:28.42,30.3 1 1
go-averroes/internal/common/config.go:31.2,31.19 1 1
go-averroes/internal/common/context.go:10.54,12.13 2 1
go-averroes/internal/common/context.go:12.13,15.14 2 0
go-averroes/internal/common/context.go:15.14,21.4 2 0
go-averroes/internal/common/context.go:23.2,24.9 2 1
go-averroes/internal/common/context.go:24.9,31.3 2 0
go-averroes/internal/common/context.go:32.2,32.23 1 1
go-averroes/internal/common/context.go:37.62,39.13 2 1
go-averroes/internal/common/context.go:39.13,45.3 2 0
go-averroes/internal/common/context.go:46.2,47.9 2 1
go-averroes/internal/common/context.go:47.9,54.3 2 0
go-averroes/internal/common/context.go:55.2,55.27 1 1
go-averroes/internal/common/context.go:60.56,62.13 2 1
go-averroes/internal/common/context.go:62.13,68.3 2 0
go-averroes/internal/common/context.go:69.2,70.9 2 1
go-averroes/internal/common/context.go:70.9,77.3 2 0
go-averroes/internal/common/context.go:78.2,78.24 1 1
go-averroes/internal/common/db.go:11.33,15.16 4 1
go-averroes/internal/common/db.go:15.16,17.3 1 1
go-averroes/internal/common/db.go:19.2,19.18 1 0
go-averroes/internal/common/logger.go:9.44,10.51 1 1
go-averroes/internal/common/logger.go:10.51,12.17 2 1
go-averroes/internal/common/logger.go:12.17,14.4 1 0
go-averroes/internal/common/logger.go:16.2,17.16 2 1
go-averroes/internal/common/logger.go:17.16,19.3 1 0
go-averroes/internal/common/logger.go:20.2,22.12 3 1
go-averroes/internal/common/models.go:218.34,218.47 1 1
go-averroes/internal/common/models.go:221.25,221.38 1 1
go-averroes/internal/common/models.go:224.28,224.41 1 1
go-averroes/internal/common/response.go:19.112,20.16 1 1
go-averroes/internal/common/response.go:20.16,21.27 1 1
go-averroes/internal/common/response.go:21.27,26.4 1 1
go-averroes/internal/common/response.go:26.9,31.4 1 1
go-averroes/internal/common/response.go:32.3,33.14 2 1
go-averroes/internal/common/response.go:35.2,35.14 1 1
go-averroes/internal/routes/routes.go:16.41,18.45 1 1
go-averroes/internal/routes/routes.go:18.45,23.3 1 1
go-averroes/internal/routes/routes.go:26.2,27.2 2 1
go-averroes/internal/routes/routes.go:27.2,28.49 1 1
go-averroes/internal/routes/routes.go:28.49,28.77 1 0
go-averroes/internal/routes/routes.go:29.3,29.51 1 1
go-averroes/internal/routes/routes.go:29.51,29.86 1 0
go-averroes/internal/routes/routes.go:33.2,35.2 3 1
go-averroes/internal/routes/routes.go:35.2,36.59 1 1
go-averroes/internal/routes/routes.go:36.59,36.88 1 0
go-averroes/internal/routes/routes.go:37.3,37.54 1 1
go-averroes/internal/routes/routes.go:37.54,37.87 1 0
go-averroes/internal/routes/routes.go:38.3,38.60 1 1
go-averroes/internal/routes/routes.go:38.60,38.98 1 0
go-averroes/internal/routes/routes.go:39.3,39.75 1 1
go-averroes/internal/routes/routes.go:39.75,39.111 1 0
go-averroes/internal/routes/routes.go:43.2,44.2 2 1
go-averroes/internal/routes/routes.go:44.2,46.43 1 1
go-averroes/internal/routes/routes.go:46.43,46.63 1 0
go-averroes/internal/routes/routes.go:49.3,51.3 3 1
go-averroes/internal/routes/routes.go:51.3,53.55 1 1
go-averroes/internal/routes/routes.go:53.55,53.75 1 0
go-averroes/internal/routes/routes.go:54.4,54.55 1 1
go-averroes/internal/routes/routes.go:54.55,54.78 1 0
